Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
23,36822.29,3132.524166666666,8,7,6,4,14,19,5.79,5.0,Standard,125.25,23.9825937667405,254,No,95.8007129241996,48.255463313051976,High_spent_Large_value_payments,409.1962404294151
23,36822.29,3132.524166666666,8,7,6,4,14,19,5.79,5.0,Standard,125.25,30.366771673201672,255,No,95.8007129241996,84.65669024985695,High_spent_Medium_value_payments,382.7950134926101
19,73737.36,5936.78,7,3,18,4,20,23,13.92,2.0,Standard,1219.39,30.877438089901627,319,Yes,214.8134632011097,160.9675294633013,High_spent_Medium_value_payments,467.8970073355889
19,73737.36,5936.78,7,3,18,4,20,20,10.92,5.0,Standard,1219.39,38.30456756460622,320,Yes,214.8134632011097,257.22999006478324,High_spent_Small_value_payments,381.6345467341071
34,88362.46,7255.538333333334,5,2,8,3,15,8,11.01,6.0,Good,325.93,29.97310198091432,316,No,211.1843903373817,314.1270048541402,High_spent_Small_value_payments,460.24243814181153
27,60162.1,5197.508333333333,5,7,5,7,18,10,14.79,9.0,Standard,1037.45,35.9681581457689,140,Yes,220.2137267039484,437.96138947503647,Low_spent_Small_value_payments,151.57571715434852
19,54820.89,4295.4075,8,7,28,6,41,17,20.42,11.0,Bad,4795.13,29.84794832139709,39,Yes,169.48198431622052,325.68127145626,Low_spent_Small_value_payments,224.3774942275196
31,30390.44,2721.5366666666664,5,6,5,4,19,20,8.36,6.0,Standard,580.31,39.0985593956832,250,No,64.84803820501804,329.21463106560134,Low_spent_Small_value_payments,168.0909973960473
31,30390.44,2721.5366666666664,5,6,5,4,22,20,8.36,6.0,Standard,580.31,36.83997819098044,251,No,64.84803820501804,45.18470250450465,High_spent_Large_value_payments,402.120925957144
43,45207.54,3507.295,8,8,24,6,24,20,9.78,13.0,Bad,2497.48,26.125446441717568,171,Yes,148.91327341500903,32.07149617579405,High_spent_Large_value_payments,409.7447304091969
43,45207.54,3507.295,8,8,24,6,19,22,9.78,13.0,Bad,2497.48,38.54245777149914,172,Yes,148.91327341500903,143.88671149746492,High_spent_Medium_value_payments,307.92951508752606
43,45207.54,3507.295,8,8,24,6,24,20,9.78,13.0,Bad,2497.48,33.964677136761175,173,Yes,148.91327341500903,76.84072654148487,High_spent_Medium_value_payments,374.9755000435061
39,30346.35,2651.8625,5,4,14,7,29,9,18.8,5.0,Standard,523.56,25.307354031106303,92,Yes,96.72128021256924,169.11618624382368,Low_spent_Small_value_payments,289.34878354360706
47,18681.465,1584.78875,2,3,9,2,1,8,3.9,3.0,Good,327.88,28.06382123496347,316,No,24.8214249786604,71.93630035975555,High_spent_Small_value_payments,321.7211496615841
35,72330.98,6300.581666666666,0,3,11,1,1,7,4.62,5.0,Good,596.78,33.74384689259225,336,No,31.37979415843871,261.87254396996724,Low_spent_Small_value_payments,626.8058285382607
42,4602545.0,8527.755,3,3,6,1,4,9,3.11,7.0,Good,1374.56,31.22177904222145,265,No,64.00168567310892,177.27095161401814,High_spent_Large_value_payments,851.5028627128729
39,31021.24,2660.636339227669,7,7,11,4,20,20,11.21,7.0,Standard,852.81,29.05362022009968,339,No,186.22617257061623,167.46544946804633,Low_spent_Large_value_payments,287.3857054003354
29,39800.12,3047.6766666666667,7,5,12,3,17,18,18.53,4.0,Standard,660.69,33.83231835702849,185,Yes,58.48765733950958,254.3090005434428,Low_spent_Small_value_payments,281.97100878371435
29,39800.12,3047.6766666666667,7,5,12,3,17,18,18.53,6.0,Standard,660.69,30.3763626789762,188,Yes,58.48765733950958,281.0353367330702,Low_spent_Medium_value_payments,245.2446725940869
28,15398.95,1548.2458333333334,1,7,5,4,1,0,6.41,8.0,Good,343.84,41.27143023516286,290,No,34.81396985624466,96.29585881449027,Low_spent_Small_value_payments,313.7147546625984
29,15398.95,1548.2458333333334,1,7,5,4,1,0,13.41,8.0,Good,343.84,31.74691660199067,292,No,34.81396985624466,45.39012955896059,High_spent_Medium_value_payments,324.6204839181281
19,27070.07,2518.839166666666,7,3,11,4,12,15,5.68,6.0,Standard,919.76,23.5574646500409,301,No,73.23331847935155,217.2645486693913,Low_spent_Large_value_payments,231.38604951792385
26,27865.26,2606.105,4,3,6,1,25,16,17.05,5.0,Standard,635.59,36.043560442424734,311,Yes,17.69844332156168,98.13711127795484,High_spent_Medium_value_payments,394.7749454004835
34,14205.09,1086.7575,7,10,21,8,33,20,19.42,16.0,Bad,4845.24,30.66834577212341,140,Yes,49.03239546911298,42.28708960267633,Low_spent_Medium_value_payments,297.3562649282107
34,14205.09,1086.7575,7,10,21,8,33,22,19.42,16.0,Bad,4845.24,30.99083993733127,141,Yes,49.03239546911298,75.19998090431021,Low_spent_Small_value_payments,274.44337362657683
28,62320.56,5068.38,9,9,18,5,23,17,16.24,15.0,Bad,3589.56,23.445625647930694,21,Yes,171.34555972446432,181.3238721940792,Low_spent_Small_value_payments,444.16856808145656
28,62320.56,5068.38,9,9,18,5,23,15,13.239999999999998,15.0,Bad,3589.56,24.20949501732343,22,Yes,171.34555972446432,407.6435891237029,Low_spent_Small_value_payments,217.8488511518329
39,108147.3,8926.275,3,6,6,4,10,21,0.5700000000000003,2.0,Standard,1113.06,38.70406395775919,296,Yes,211.1795815692456,474.04912203129686,Low_spent_Small_value_payments,497.3987963994576
28,17759.1,1533.925,6,8,19,5,24,20,5.2,10.0,Bad,3598.39,22.08115310586168,55,Yes,64.55062048800421,15.193960535175282,High_spent_Large_value_payments,313.6479189768205
28,17759.1,1533.925,6,8,19,5,24,20,5.2,10.0,Bad,3598.39,34.132354250666,56,Yes,64.55062048800421,183.50916894733345,Low_spent_Small_value_payments,195.33271056466236
37,85328.73,6858.7275,3,4,11,1,12,17,1.83,2.0,Good,585.05,24.33710788382652,323,No,68.4589661120162,291.3699980847771,High_spent_Small_value_payments,586.0437858032068
25,61008.0,5235.0,10,5,32,4,16,19,19.44,17.0,Standard,1755.81,25.22776614388638,97,Yes,189.4265306646308,74.80924749092921,High_spent_Medium_value_payments,509.26422184443993
19,56803.71,4620.6425,7,5,25,6,42,23,16.23,11.0,Bad,2593.44,38.87819909381113,67,Yes,187.190218862138,144.6027128035824,High_spent_Medium_value_payments,380.2713183342796
32,38364.82,2904.068333333333,9,6,32,4,34,24,3.44,12.0,Bad,1973.63,29.24692971651018,200,Yes,74.85037187731447,85.17822119171014,High_spent_Medium_value_payments,380.3782402643087
32,38364.82,2904.068333333333,9,6,32,4,34,25,3.44,12.0,Bad,1973.63,39.46562351083284,201,Yes,74.85037187731447,63.532805251674354,High_spent_Medium_value_payments,402.0236562043445
20,15015.4,1213.2833333333333,5,5,9,1,25,8,5.04,5.0,Good,330.17,24.650308446583686,225,No,11.685734566072789,47.30795792957788,Low_spent_Small_value_payments,352.3346408376826
34,19777.05,1728.0875,5,3,3,3,16,3,5.95,1.0,Good,186.16,25.758671794694795,224,No,29.045533320072103,11.76411839618042,High_spent_Large_value_payments,371.9990982837474
35,19777.05,1728.0875,5,3,3,3,14,0,5.95,1.0,Good,186.16,22.26375789934231,225,No,29.045533320072103,180.9076961763889,Low_spent_Small_value_payments,252.85552050353903
29,7873905.0,12353.633333333331,2,2,12,2,16,6,4.21,2.0,Good,1250.67,36.95384495908608,210,No,192.2064832741598,232.52138973022844,High_spent_Medium_value_payments,1060.635460328945
30,147499.6,12353.633333333331,2,2,12,2,14,2,4.21,2.0,Good,1250.67,32.24519332234832,212,No,192.2064832741598,467.9655372342429,High_spent_Medium_value_payments,825.1913128249307
43,20005.22,1683.101666666667,8,3,6,4,17,20,24.33,13.0,Standard,1859.45,29.727595591113804,131,Yes,59.51321413246297,89.61544253201929,Low_spent_Medium_value_payments,299.1815100021844
43,20005.22,1683.101666666667,8,3,6,4,22,20,18.33,13.0,Standard,1859.45,27.321489310601788,132,Yes,59.51321413246297,144.39617064631614,Low_spent_Medium_value_payments,244.4007818878876
33,19795.52,1662.6266666666668,7,10,34,8,20,21,22.79,15.0,Bad,3135.02,33.64511754560509,30,Yes,130.47547071749042,122.2216696933367,Low_spent_Medium_value_payments,193.5655262558396
37,18717.02,1294.7516666666668,8,5,15,5,14,18,10.3,10.0,Standard,2103.99,29.864136905148,162,Yes,60.64699329311761,29.939366844700032,High_spent_Small_value_payments,298.88880652884905
27,63536.98,5382.748333333334,4,5,12,2,29,17,14.78,9.0,Standard,89.62,26.02166195665192,315,Yes,69.10085253082353,89.69025633675682,High_spent_Large_value_payments,619.4837244657531
28,63536.98,5382.748333333334,4,5,12,2,32,16,14.78,9.0,Standard,89.62,27.936702558381217,317,Yes,69.10085253082353,112.47112168923464,High_spent_Large_value_payments,596.7028591132752
40,9983.345,758.9454166666666,7,11,15,5,22,16,10.26,12.0,Standard,1823.35,36.07825750942549,100,Yes,29.24151868964153,27.261180165475903,High_spent_Medium_value_payments,269.3918428115492
15,27796.42,2300.3683333333333,6,5,16,2,18,14,11.85,10.0,Standard,1073.94,36.17666388955485,279,Yes,36.06763128414976,158.19484043149313,High_spent_Small_value_payments,295.7743616176905
48,37071.2,3006.2666666666664,1,6,6,4,14,4,11.56,4.0,Good,869.99,39.99881581174791,192,No,74.69027138495908,98.89156721151146,Low_spent_Medium_value_payments,407.04482807019616
48,37071.2,3006.2666666666664,1,6,6,4,18,5,11.56,4.0,Good,869.99,33.39082392629834,193,No,74.69027138495908,295.7627580358139,Low_spent_Small_value_payments,220.17363724589367
38,40391.66,3357.971666666667,10,7,18,3,35,21,3.51,12.0,Bad,1950.62,37.92813470158226,87,Yes,60.370828399887685,104.6817559513854,High_spent_Small_value_payments,430.7445823153936
38,40391.66,3357.971666666667,10,7,18,3,35,23,3.51,12.0,Bad,1950.62,28.72534805826157,88,Yes,60.370828399887685,41.73545391058706,High_spent_Medium_value_payments,483.690884356192
41,19065.32,1497.7766666666666,3,6,5,5,25,11,7.81,5.0,Standard,2008.06,25.61912250094436,175,Yes,76.21247400832009,28.47047558456697,High_spent_Medium_value_payments,295.09471707377963
41,19065.32,1497.7766666666666,3,6,5,5,23,14,7.81,5.0,Standard,2008.06,40.12886281523158,176,Yes,76.21247400832009,57.88926089099711,Low_spent_Small_value_payments,305.6759317673495
46,24585.55,2316.795833333333,3,4,14,2,13,14,11.35,1.0,Standard,195.38,26.888792887136383,275,Yes,30.447776935964107,299.9475980928114,Low_spent_Small_value_payments,191.2842083045578
47,24585.55,2316.795833333333,3,4,14,2,10,14,16.35,1.0,Standard,195.38,30.147965293362173,277,Yes,30.447776935964107,34.79465480814094,High_spent_Large_value_payments,406.4371515892283
27,15013.73,1127.1441666666667,7,4,14,6,23,8,8.22,7.0,Standard,1403.17,26.39210076363373,126,Yes,51.547924156742056,74.97566925866485,Low_spent_Small_value_payments,276.19082325125976
27,15013.73,1127.1441666666667,7,4,14,6,20,9,8.22,7.0,Standard,1403.17,26.3050348056972,128,Yes,51.547924156742056,47.9774206749251,Low_spent_Small_value_payments,303.1890718349996
39,34212.01,2847.000833333333,6,5,10,3,18,10,8.12,1.0,Standard,512.38,39.69518132857944,287,No,66.6764133130149,278.541851498458,Low_spent_Small_value_payments,229.4818185218604
46,24199.24,1951.6033333333328,3,7,6,1,26,14,0.67,4.0,Good,784.35,37.72281141069045,220,No,13.886305431201704,14.577634931889046,High_spent_Large_value_payments,406.6963929702425
32,16578.115,1426.5095833333337,3,5,15,2,10,12,13.29,7.0,Standard,1054.86,33.469570793053244,235,Yes,21.42597208431386,108.05646652571414,Low_spent_Small_value_payments,303.16851972330534
32,16578.115,1426.5095833333337,3,5,15,2,10,13,13.29,7.0,Standard,1054.86,36.587378961837786,238,Yes,21.42597208431386,185.79604575598884,Low_spent_Small_value_payments,225.4289404930307
44,34766.06,3133.171666666666,0,1,11,3,4,4,5.71,4.0,Good,1374.23,36.17707872343392,168,No,78.09310673608609,43.71696486399703,High_spent_Medium_value_payments,441.5070950665837
44,34766.06,3133.171666666666,0,1,11,3,4,1,5.71,4.0,Good,1374.23,26.295038242822056,169,No,78.09310673608609,91.94862241849908,High_spent_Medium_value_payments,393.2754375120816
33,42220.39,3433.686488446392,1,4,1,4,9,9,7.48,6.0,Good,257.81,30.063052147002576,233,No,191.94974107665337,125.54594067183538,Low_spent_Medium_value_payments,368.2202464717858
51,43581.13,3566.7608333333333,4,3,9,3,18,3,8.56,2.0,Good,900.83,29.392791358224983,239,No,103.03307766103524,143.44207885649118,High_spent_Medium_value_payments,360.2009268158069
52,43581.13,3566.7608333333333,4,3,9,3,14,3,8.56,7.0,Good,900.83,29.343087842337933,240,No,103.03307766103524,318.5485551113878,Low_spent_Small_value_payments,225.09445056091027
34,35376.32,2717.026666666666,8,3,19,3,12,16,15.14,10.0,Standard,1166.47,23.35627280291955,190,Yes,58.2166703210756,116.41569298076185,Low_spent_Small_value_payments,387.0703033648293
27,19853.35,1613.0032412063474,7,4,6,2,21,17,9.63,2.0,Standard,816.46,26.258807394623123,199,No,141.5145576001361,224.64016484685183,Low_spent_Small_value_payments,209.9324530133312
23,19283.47,1886.9558333333327,10,8,34,9,38,15,26.43,13.0,Bad,4404.48,30.899888719194088,65,Yes,84.6164317306805,44.85196653846928,High_spent_Large_value_payments,299.22718506418363
24,66502.76,5379.8966666666665,0,6,1,2,32,10,7.06,4.0,Good,276.91,28.62953663154553,197,No,80.100174314101,90.13155217670584,High_spent_Large_value_payments,607.7579401758599
34,9444.795,850.06625,7,8,28,6,26,11,17.57,7.0,Standard,1701.58,28.822264274110477,60,Yes,27.59495029732186,85.65569453575112,Low_spent_Medium_value_payments,251.75598016692703
34,9444.795,850.06625,7,8,28,6,26,9,17.57,7.0,Standard,1701.58,37.46444743347333,61,Yes,27.59495029732186,68.18557230662583,Low_spent_Small_value_payments,279.22610239605234
34,9444.795,850.06625,7,8,28,6,26,11,17.57,8.0,Standard,1701.58,27.63918778551522,63,Yes,27.59495029732186,54.32461405912675,High_spent_Small_value_payments,263.0870606435514
47,70112.78,5989.731666666668,1,7,3,2,5,3,1.25,5.0,Good,877.06,35.31814910662736,259,No,69.71794787486095,283.2785698882344,High_spent_Small_value_payments,505.97664890357134
18,15604.56,1389.38,9,5,25,3,27,23,8.08,13.0,Bad,2686.18,39.54888205775843,201,Yes,37.91235014270589,127.7756270761828,Low_spent_Medium_value_payments,253.25002278111128
18,15604.56,1389.38,9,5,25,3,27,21,8.08,13.0,Bad,2686.18,34.42829973160528,202,Yes,37.91235014270589,179.5771312573051,Low_spent_Small_value_payments,211.448518599989
18,15604.56,1389.38,9,5,25,3,29,23,12.08,13.0,Bad,2686.18,27.289102518713328,203,Yes,37.91235014270589,74.88455496420023,Low_spent_Small_value_payments,316.1410948930938
39,64036.88,5591.406666666668,8,4,15,4,29,17,14.7,9.0,Standard,1635.19,35.1792658695388,87,Yes,127.82606133041408,544.82730755152,Low_spent_Small_value_payments,176.48729778473262
30,9783.245,908.2704166666668,8,6,29,8,43,17,7.75,7.0,Bad,1684.06,30.8377414412544,192,Yes,52.83913367020968,35.12845533301886,Low_spent_Small_value_payments,292.85945266343816
30,9783.245,908.2704166666668,8,6,29,8,45,17,7.75,11.0,Bad,1684.06,34.18641036216449,194,Yes,52.83913367020968,83.72837527114395,Low_spent_Small_value_payments,244.2595327253131
22,86522.72,7098.2266666666665,8,5,13,1,14,11,19.51,13.0,Standard,455.22,37.65307545634339,286,Yes,45.2646813787989,306.50881975522555,High_spent_Small_value_payments,618.0491655326422
51,15606.515,1234.5429166666663,3,4,6,4,7,1,9.37,3.0,Good,257.85,24.169967180626987,339,No,35.62637254261307,106.93925845384346,Low_spent_Small_value_payments,270.88866067021013
25,28230.92,2184.5766666666664,8,6,32,7,49,16,25.17,14.0,Bad,2989.13,28.38729965271225,78,Yes,132.48112788009803,66.34195827184878,Low_spent_Large_value_payments,289.6345805147198
29,10623.765,895.3137499999998,6,3,18,3,7,13,16.39,7.0,Standard,181.68,38.209312246771866,163,Yes,26.515279960070053,72.03125867396686,Low_spent_Medium_value_payments,270.9848363659631
19,11970.955,1169.5795833333332,8,4,7,2,26,8,4.72,6.0,Standard,889.62,34.04081088623837,267,No,14.885194696934184,45.93646327565438,Low_spent_Small_value_payments,346.1363003607448
20,7477136.0,4870.966666666666,0,5,7,1,13,3,11.42,2.0,Good,71.52,36.42427388969825,337,No,27.65459979566915,46.65008320903486,High_spent_Large_value_payments,652.7919836619627
22,29608.46,2625.3716666666664,7,8,31,7,43,19,9.06,10.0,Bad,1286.07,23.89829117336027,156,Yes,141.76428225323713,231.26612042009504,Low_spent_Medium_value_payments,169.50676399333452
22,29608.46,2625.3716666666664,7,8,31,7,42,16,9.06,10.0,Bad,1286.07,38.70676838699337,157,Yes,141.76428225323713,203.7203982033354,Low_spent_Medium_value_payments,197.0524862100941
22,29608.46,2625.3716666666664,7,8,31,7,40,16,3.0600000000000005,14.0,Bad,1286.07,27.37241518914208,158,Yes,141.76428225323713,181.09446950293167,High_spent_Small_value_payments,199.67841491049785
30,29999.94,2767.995,10,9,15,5,42,19,7.67,13.0,Bad,2593.23,36.99699446591491,169,Yes,101.64748417267153,105.38307833382096,Low_spent_Large_value_payments,339.7689374935076
30,29999.94,2767.995,10,9,15,5,40,21,7.67,13.0,Bad,2593.23,40.10080983987624,170,Yes,101.64748417267153,183.624979979855,High_spent_Small_value_payments,251.52703584747348
15,52972.5,4600.375,7,5,32,3,46,25,7.2,12.0,Bad,2196.59,33.27300118135673,95,Yes,112.69576824348246,77.11053037286058,High_spent_Medium_value_payments,520.231201383657
31,15746.63,1122.2191666666663,4,3,18,5,22,13,10.83,7.0,Standard,2098.83,32.5641359704797,121,Yes,44.04040477401768,50.6004827773391,Low_spent_Medium_value_payments,297.5810291153099
31,15746.63,1122.2191666666663,3,2,18,5,22,12,10.83,7.0,Standard,2098.83,28.53509541517505,123,Yes,44.04040477401768,60.993250025311966,Low_spent_Small_value_payments,297.188261867337
48,31895.07,2488.9225,3,6,2,4,16,10,3.06,2.0,Good,220.33,40.23007768476226,224,No,60.32284544467706,100.11680445853273,High_spent_Medium_value_payments,338.4526000967902
48,31895.07,2488.9225,3,6,2,4,16,10,3.06,4.0,Good,220.33,31.14018102936452,225,No,60.32284544467706,195.1776392553173,Low_spent_Small_value_payments,283.39176530000566
32,30922.28,2494.8566666666666,1,5,12,2,19,1,7.710000000000001,2.0,Good,957.53,39.77682703338828,220,No,30.338204255747957,229.21567410853896,Low_spent_Small_value_payments,279.93178830237974
27,39696.98,3211.081666666667,5,5,10,1,11,3,1.98,4.0,Good,133.3,36.04289493251545,221,No,31.906580170809523,184.0574092198084,High_spent_Small_value_payments,365.1441772760488
32,11431.775,930.6479166666668,8,6,16,4,7,18,0.52,3.0,Standard,117.57,38.48617174961964,176,No,29.485471340503853,34.3420331818508,High_spent_Medium_value_payments,279.237287144312
47,142170.12,11584.51,3,4,8,2,3,1,2.58,6.0,Good,282.56,38.62946026363369,252,No,183.75951310113632,177.8583137532896,High_spent_Large_value_payments,1036.8331731455742
46,19951.765,1592.647083333333,1,1,12,2,10,6,2.89,5.0,Good,1463.07,30.0278662053598,335,No,28.21305815261517,65.61978807132158,High_spent_Medium_value_payments,315.4318621093966
46,19951.765,1592.647083333333,1,1,12,2,9,6,2.89,5.0,Good,1463.07,33.2989104452174,336,No,28.21305815261517,34.07261406647877,High_spent_Large_value_payments,336.97903611423936
37,94454.1,8102.175,1,4,5,3,9,6,1.63,6.0,Good,1342.61,27.62377224128629,307,No,152.50689472836868,282.18715383125533,High_spent_Medium_value_payments,625.523451440376
