Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,normalized_dti,normalized_emi,normalized_delinquency,normalized_credit_history,normalized_savings,normalized_utilization,normalized_utilization_risk,normalized_inquiry_intensity,behavioral_risk_indicator,credit_mix_quality,normalized_savings_capacity_ratio,Default_Flag,Borrower_Tier,Repayment_Stress,Credit_Exposure
20787.69,1999.3075,8,6,14,3,22,14,1.13,5,Standard,614.6,35.33001552852757,189,No,42.22199265643221,Low_spent_Small_value_payments,341.3799099458058,0.0296,0.021108,1.0,1.0,0.170664,1.0,1.0,0.714286,0,1,0.925699,0,Near_Prime,0.021108,211.9800931711654
34290.12,2697.51,9,8,25,7,49,9,13.96,13,Standard,2686.81,38.94266783614944,144,Yes,185.1119825795006,Low_spent_Large_value_payments,187.3587152653744,0.0784,0.068598,1.0,1.0,0.06943,1.0,1.0,1.0,1,1,0.869364,0,Prime,0.068598,311.5413426891955
43070.24,3622.186666666666,3,3,18,1,6,8,5.9700000000000015,8,Standard,1233.1,27.548973092343964,200,Yes,30.57608482316153,High_spent_Small_value_payments,449.2676958529782,0.0286,0.008439,1.0,1.0,0.123998,1.0,1.0,1.0,1,1,0.952252,1,Near_Prime,0.008439,82.64691927703188
43070.24,3622.186666666666,3,3,18,1,11,7,8.97,8,Standard,1233.1,31.553922400187425,201,Yes,30.57608482316153,High_spent_Large_value_payments,543.4554358024851,0.0286,0.008439,1.0,1.0,0.149994,1.0,1.0,1.0,1,1,0.983777,0,Near_Prime,0.008439,94.66176720056228
28572.39,2210.0325,6,3,15,3,25,12,4.89,2,Standard,400.07,31.909035592946104,312,Yes,69.60292048199007,High_spent_Small_value_payments,271.75978943576007,0.014,0.03148,1.0,1.0,0.122911,1.0,1.0,0.5,1,1,0.905321,1,Near_Prime,0.03148,95.7271067788383
20186.02,1684.168333333333,1,5,1,2,5,6,6.83,4,Good,413.32,30.419567349784646,190,No,29.534583720496048,High_spent_Medium_value_payments,340.8675955899324,0.0205,0.017526,1.0,1.0,0.202275,1.0,1.0,0.666667,0,2,0.953954,1,Prime,0.017526,152.09783674892324
20186.02,1684.168333333333,1,5,1,2,5,5,6.83,4,Good,413.32,40.296580610984286,191,No,29.534583720496048,High_spent_Medium_value_payments,332.9476159886433,0.0205,0.017526,1.0,1.0,0.197575,1.0,1.0,0.666667,0,2,0.949251,0,Prime,0.017526,201.48290305492145
18627.64,1387.303333333333,7,7,19,6,31,23,5.07,7,Bad,1793.54,34.78982153993944,197,Yes,65.13948777561222,High_spent_Small_value_payments,259.2866048477299,0.0963,0.04692,1.0,1.0,0.186765,1.0,1.0,0.875,1,0,0.899486,0,Near_Prime,0.04692,243.5287507795761
12986.745,959.22875,4,3,10,2,27,17,11.8,7,Standard,1489.49,25.77541495147188,94,Yes,16.719300227776053,Low_spent_Medium_value_payments,260.0386501156353,0.1147,0.017412,1.0,0.783333,0.270809,1.0,1.0,1.0,1,1,0.87919,1,Subprime,0.017412,77.32624485441565
12986.745,959.22875,4,3,10,2,30,16,11.8,7,Standard,1489.49,26.41550224652845,95,Yes,16.719300227776053,Low_spent_Small_value_payments,319.2933409400166,0.1147,0.017412,1.0,0.791667,0.332518,1.0,1.0,1.0,1,1,0.930538,0,Subprime,0.017412,79.24650673958536
58317.0,4664.75,8,5,9,6,18,20,16.58,10,Standard,98.97,36.34203464170722,139,Yes,149.89719942100822,Low_spent_Medium_value_payments,433.84138051954994,0.0017,0.032127,1.0,1.0,0.092984,1.0,1.0,1.0,1,1,0.93298,0,Near_Prime,0.032127,181.7101732085361
42171.98,3764.331666666667,2,7,10,3,8,11,2.58,4,Good,556.91,28.76152739499421,222,No,102.7629131170904,Low_spent_Large_value_payments,238.8609524581876,0.0132,0.027292,1.0,1.0,0.063437,1.0,1.0,0.5,0,2,0.891728,1,Prime,0.027292,201.33069176495948
42171.98,3764.331666666667,2,7,10,3,4,10,2.58,6,Good,556.91,36.578239192701815,224,No,102.7629131170904,Low_spent_Large_value_payments,329.529207058408,0.0132,0.027292,1.0,1.0,0.087517,1.0,1.0,0.75,0,2,0.915814,0,Prime,0.027292,256.0476743489127
15566.02,1423.168333333333,8,5,32,4,12,20,3.24,9,Standard,1693.95,30.77530249613676,87,Yes,43.07051960231588,Low_spent_Small_value_payments,304.1853434594915,0.1088,0.030243,1.0,0.725,0.213588,1.0,1.0,1.0,1,1,0.909967,1,Subprime,0.030243,153.8765124806838
15566.02,1423.168333333333,8,5,32,4,17,20,9.24,9,Standard,1693.95,24.03584985300275,88,Yes,43.07051960231588,Low_spent_Small_value_payments,241.8281297046001,0.1088,0.030243,1.0,0.733333,0.169803,1.0,1.0,1.0,1,1,0.866152,1,Subprime,0.030243,120.17924926501374
66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2,Standard,233.79,26.47501157048493,250,No,100.18936089086122,High_spent_Medium_value_payments,622.1869356860124,0.0035,0.01727,1.0,1.0,0.10725,1.0,1.0,0.25,0,1,0.964167,1,Subprime,0.01727,185.3250809933945
66567.32,5800.276666666668,5,7,5,2,7,15,5.67,2,Standard,233.79,40.303827080568375,252,No,100.18936089086122,High_spent_Large_value_payments,619.442435084821,0.0035,0.01727,1.0,1.0,0.106777,1.0,1.0,0.25,0,1,0.965418,0,Subprime,0.01727,282.1267895639786
30788.44,2623.703333333333,7,9,31,6,50,21,20.73,9,Bad,3470.08,36.226656344628886,20,Yes,114.533020898938,Low_spent_Small_value_payments,141.7301140118485,0.1127,0.043637,1.0,0.166667,0.053999,1.0,1.0,0.9,1,0,0.843488,1,Near_Prime,0.043637,326.03990710166
30788.44,2623.703333333333,7,9,31,6,44,20,17.73,13,Bad,3470.08,33.491468635341825,21,Yes,114.533020898938,Low_spent_Small_value_payments,94.5891579655858,0.1127,0.043637,1.0,0.175,0.036038,1.0,1.0,1.0,1,0,0.825521,1,Near_Prime,0.043637,301.42321771807644
20574.47,1740.539166666667,6,3,14,4,6,10,14.74,11,Standard,749.95,39.73211698649768,117,Yes,49.348666321498655,Low_spent_Large_value_payments,328.7746008964973,0.0364,0.028336,1.0,0.975,0.188784,1.0,1.0,1.0,1,1,0.933768,0,Prime,0.028336,119.19635095949305
20574.47,1740.539166666667,6,3,14,4,6,12,10.74,11,Standard,749.95,34.37783509597484,118,Yes,49.348666321498655,High_spent_Large_value_payments,321.13998555630815,0.0364,0.028336,1.0,0.983333,0.1844,1.0,1.0,1.0,1,1,0.946618,0,Prime,0.028336,103.13350528792452
87215.68,7489.973333333332,2,6,8,2,2,6,10.98,0,Good,680.77,26.45454790745145,217,No,121.68201673654264,Low_spent_Large_value_payments,317.4527196935575,0.0078,0.016244,1.0,1.0,0.042378,1.0,1.0,0.0,0,2,0.906335,0,Prime,0.016244,158.72728744470868
95956.5,8279.375,8,4,11,2,28,10,12.94,7,Standard,1079.73,41.72201510339915,325,No,95.5216287821567,High_spent_Large_value_payments,766.0822781729829,0.0113,0.011536,1.0,1.0,0.092518,1.0,1.0,1.0,0,1,0.963541,1,Near_Prime,0.011536,166.8880604135966
95956.5,8279.375,8,4,11,2,23,10,7.939999999999999,7,Standard,1079.73,28.91782480697284,326,No,95.5216287821567,Low_spent_Medium_value_payments,574.9258329181949,0.0113,0.011536,1.0,1.0,0.069432,1.0,1.0,1.0,0,1,0.935622,0,Near_Prime,0.011536,115.67129922789135
49967.01,4091.9175,6,5,31,6,27,13,19.87,12,Standard,2253.95,29.132503896515377,176,Yes,156.00331166279182,Low_spent_Small_value_payments,92.26209615721348,0.0451,0.038115,1.0,1.0,0.022542,1.0,1.0,1.0,1,1,0.851676,0,Prime,0.038115,145.6625194825769
49967.01,4091.9175,6,5,31,6,27,11,16.87,12,Standard,2253.95,26.041476458839284,177,Yes,156.00331166279182,Low_spent_Medium_value_payments,412.4146611505183,0.0451,0.038115,1.0,1.0,0.100763,1.0,1.0,1.0,1,1,0.93236,0,Prime,0.038115,130.2073822941964
49967.01,4091.9175,6,5,31,6,27,12,19.87,12,Standard,2253.95,26.3161966456708,179,Yes,156.00331166279182,High_spent_Small_value_payments,323.75845761609787,0.0451,0.038115,1.0,1.0,0.079102,1.0,1.0,1.0,1,1,0.915582,1,Prime,0.038115,131.580983228354
17251.38,1654.615,6,3,7,7,8,18,15.06,10,Standard,2431.64,37.63832057733276,123,Yes,57.35116518894053,High_spent_Small_value_payments,329.99727020592496,0.1409,0.03464,1.0,1.0,0.19932,1.0,1.0,1.0,1,1,0.942304,1,Prime,0.03464,112.91496173199828
36822.29,3132.524166666666,8,7,6,4,14,19,5.79,5,Standard,125.25,23.9825937667405,254,No,95.8007129241996,High_spent_Large_value_payments,409.1962404294151,0.0034,0.030573,1.0,1.0,0.130587,1.0,1.0,0.625,0,1,0.954013,1,Near_Prime,0.030573,167.8781563671835
36822.29,3132.524166666666,8,7,6,4,14,19,5.79,5,Standard,125.25,30.366771673201672,255,No,95.8007129241996,High_spent_Medium_value_payments,382.7950134926101,0.0034,0.030573,1.0,1.0,0.122161,1.0,1.0,0.625,0,1,0.942392,1,Near_Prime,0.030573,212.5674017124117
73737.36,5936.78,7,3,18,4,20,23,13.92,2,Standard,1219.39,30.877438089901627,319,Yes,214.8134632011097,High_spent_Medium_value_payments,467.8970073355889,0.0165,0.036177,1.0,1.0,0.0788,1.0,1.0,0.5,1,1,0.936703,0,Subprime,0.036177,92.63231426970488
73737.36,5936.78,7,3,18,4,20,20,10.92,5,Standard,1219.39,38.30456756460622,320,Yes,214.8134632011097,High_spent_Small_value_payments,381.6345467341071,0.0165,0.036177,1.0,1.0,0.064272,1.0,1.0,1.0,1,1,0.920488,0,Near_Prime,0.036177,114.91370269381864
88362.46,7255.538333333334,5,2,8,3,15,8,11.01,6,Good,325.93,29.97310198091432,316,No,211.1843903373817,High_spent_Small_value_payments,460.24243814181153,0.0037,0.029103,1.0,1.0,0.063425,1.0,1.0,1.0,0,2,0.927599,0,Prime,0.029103,59.94620396182864
60162.1,5197.508333333333,5,7,5,7,18,10,14.79,9,Standard,1037.45,35.9681581457689,140,Yes,220.2137267039484,Low_spent_Small_value_payments,151.57571715434852,0.0172,0.042361,1.0,1.0,0.029158,1.0,1.0,1.0,1,1,0.873367,0,Prime,0.042361,251.77710702038232
54820.89,4295.4075,8,7,28,6,41,17,20.42,11,Bad,4795.13,29.84794832139709,39,Yes,169.48198431622052,Low_spent_Small_value_payments,224.3774942275196,0.0875,0.039447,1.0,0.325,0.052224,1.0,1.0,1.0,1,0,0.884723,0,Near_Prime,0.039447,208.93563824977963
30390.44,2721.5366666666664,5,6,5,4,19,20,8.36,6,Standard,580.31,39.0985593956832,250,No,64.84803820501804,Low_spent_Small_value_payments,168.0909973960473,0.0191,0.023819,1.0,1.0,0.061741,1.0,1.0,0.857143,0,1,0.855206,1,Near_Prime,0.023819,234.59135637409923
30390.44,2721.5366666666664,5,6,5,4,22,20,8.36,6,Standard,580.31,36.83997819098044,251,No,64.84803820501804,High_spent_Large_value_payments,402.120925957144,0.0191,0.023819,1.0,1.0,0.147701,1.0,1.0,0.857143,0,1,0.95957,0,Near_Prime,0.023819,221.03986914588265
45207.54,3507.295,8,8,24,6,24,20,9.78,13,Bad,2497.48,26.125446441717568,171,Yes,148.91327341500903,High_spent_Large_value_payments,409.7447304091969,0.0552,0.042446,1.0,1.0,0.116793,1.0,1.0,1.0,1,0,0.948398,0,Near_Prime,0.042446,209.0035715337405
45207.54,3507.295,8,8,24,6,19,22,9.78,13,Bad,2497.48,38.54245777149914,172,Yes,148.91327341500903,High_spent_Medium_value_payments,307.92951508752606,0.0552,0.042446,1.0,1.0,0.087772,1.0,1.0,1.0,1,0,0.916517,1,Near_Prime,0.042446,308.3396621719931
45207.54,3507.295,8,8,24,6,24,20,9.78,13,Bad,2497.48,33.964677136761175,173,Yes,148.91327341500903,High_spent_Medium_value_payments,374.9755000435061,0.0552,0.042446,1.0,1.0,0.106883,1.0,1.0,1.0,1,0,0.935633,0,Near_Prime,0.042446,271.7174170940894
30346.35,2651.8625,5,4,14,7,29,9,18.8,5,Standard,523.56,25.307354031106303,92,Yes,96.72128021256924,Low_spent_Small_value_payments,289.34878354360706,0.0173,0.036459,1.0,0.766667,0.10907,1.0,1.0,1.0,1,1,0.899754,0,Prime,0.036459,101.2294161244252
18681.465,1584.78875,2,3,9,2,1,8,3.9,3,Good,327.88,28.06382123496347,316,No,24.8214249786604,High_spent_Small_value_payments,321.7211496615841,0.0176,0.015652,1.0,1.0,0.202878,1.0,1.0,0.75,0,2,0.938946,0,Prime,0.015652,84.19146370489041
72330.98,6300.581666666666,0,3,11,1,1,7,4.62,5,Good,596.78,33.74384689259225,336,No,31.37979415843871,Low_spent_Small_value_payments,626.8058285382607,0.0083,0.00498,1.0,1.0,0.099468,1.0,1.0,1.0,0,2,0.953456,0,Near_Prime,0.00498,101.23154067777676
4602545.0,8527.755,3,3,6,1,4,9,3.11,7,Good,1374.56,31.22177904222145,265,No,64.00168567310892,High_spent_Large_value_payments,851.5028627128729,0.0003,0.007504,1.0,1.0,0.099839,1.0,1.0,1.0,0,2,0.971707,0,Subprime,0.007504,93.66533712666435
31021.24,2660.636339227669,7,7,11,4,20,20,11.21,7,Standard,852.81,29.05362022009968,339,No,186.22617257061623,Low_spent_Large_value_payments,287.3857054003354,0.0275,0.069967,1.0,1.0,0.107973,1.0,1.0,0.875,0,1,0.867065,0,Near_Prime,0.069967,203.37534154069775
39800.12,3047.6766666666667,7,5,12,3,17,18,18.53,4,Standard,660.69,33.83231835702849,185,Yes,58.48765733950958,Low_spent_Small_value_payments,281.97100878371435,0.0166,0.019185,1.0,1.0,0.09249,1.0,1.0,0.666667,1,1,0.897366,0,Subprime,0.019185,169.16159178514246
39800.12,3047.6766666666667,7,5,12,3,17,18,18.53,6,Standard,660.69,30.3763626789762,188,Yes,58.48765733950958,Low_spent_Medium_value_payments,245.2446725940869,0.0166,0.019185,1.0,1.0,0.080443,1.0,1.0,1.0,1,1,0.888596,0,Subprime,0.019185,151.881813394881
15398.95,1548.2458333333334,1,7,5,4,1,0,6.41,8,Good,343.84,41.27143023516286,290,No,34.81396985624466,Low_spent_Small_value_payments,313.7147546625984,0.0223,0.022472,0.0,1.0,0.202495,1.0,1.0,1.0,0,2,0.915317,0,Prime,0.0,288.90001164614
15398.95,1548.2458333333334,1,7,5,4,1,0,13.41,8,Good,343.84,31.74691660199067,292,No,34.81396985624466,High_spent_Medium_value_payments,324.6204839181281,0.0223,0.022472,0.0,1.0,0.209535,1.0,1.0,1.0,0,2,0.948197,1,Prime,0.0,222.22841621393468
27070.07,2518.839166666666,7,3,11,4,12,15,5.68,6,Standard,919.76,23.5574646500409,301,No,73.23331847935155,Low_spent_Large_value_payments,231.38604951792385,0.034,0.029063,1.0,1.0,0.091826,1.0,1.0,1.0,0,1,0.88467,0,Near_Prime,0.029063,70.6723939501227
27865.26,2606.105,4,3,6,1,25,16,17.05,5,Standard,635.59,36.043560442424734,311,Yes,17.69844332156168,High_spent_Medium_value_payments,394.7749454004835,0.0228,0.006789,1.0,1.0,0.151423,1.0,1.0,1.0,1,1,0.955552,0,Subprime,0.006789,108.1306813272742
14205.09,1086.7575,7,10,21,8,33,20,19.42,16,Bad,4845.24,30.66834577212341,140,Yes,49.03239546911298,Low_spent_Medium_value_payments,297.3562649282107,0.3411,0.045077,1.0,1.0,0.273366,1.0,1.0,1.0,1,0,0.915971,0,Near_Prime,0.045077,306.6834577212341
14205.09,1086.7575,7,10,21,8,33,22,19.42,16,Bad,4845.24,30.99083993733127,141,Yes,49.03239546911298,Low_spent_Small_value_payments,274.44337362657683,0.3411,0.045077,1.0,1.0,0.252302,1.0,1.0,1.0,1,0,0.885685,1,Near_Prime,0.045077,309.9083993733127
62320.56,5068.38,9,9,18,5,23,17,16.24,15,Bad,3589.56,23.445625647930694,21,Yes,171.34555972446432,Low_spent_Small_value_payments,444.16856808145656,0.0576,0.0338,1.0,0.175,0.087618,1.0,1.0,1.0,1,0,0.930418,0,Near_Prime,0.0338,211.01063083137623
62320.56,5068.38,9,9,18,5,23,15,13.239999999999998,15,Bad,3589.56,24.20949501732343,22,Yes,171.34555972446432,Low_spent_Small_value_payments,217.8488511518329,0.0576,0.0338,1.0,0.183333,0.042973,1.0,1.0,1.0,1,0,0.885764,1,Near_Prime,0.0338,217.88545515591088
108147.3,8926.275,3,6,6,4,10,21,0.5700000000000003,2,Standard,1113.06,38.70406395775919,296,Yes,211.1795815692456,Low_spent_Small_value_payments,497.3987963994576,0.0103,0.023656,1.0,1.0,0.055717,1.0,1.0,0.285714,1,1,0.923235,0,Near_Prime,0.023656,232.22438374655516
17759.1,1533.925,6,8,19,5,24,20,5.2,10,Bad,3598.39,22.08115310586168,55,Yes,64.55062048800421,High_spent_Large_value_payments,313.6479189768205,0.2026,0.042055,1.0,0.458333,0.204341,1.0,1.0,1.0,1,0,0.948013,1,Near_Prime,0.042055,176.64922484689345
17759.1,1533.925,6,8,19,5,24,20,5.2,10,Bad,3598.39,34.132354250666,56,Yes,64.55062048800421,Low_spent_Small_value_payments,195.3327105646624,0.2026,0.042055,1.0,0.466667,0.127259,1.0,1.0,1.0,1,0,0.838284,0,Near_Prime,0.042055,273.058834005328
85328.73,6858.7275,3,4,11,1,12,17,1.83,2,Good,585.05,24.33710788382652,323,No,68.4589661120162,High_spent_Small_value_payments,586.0437858032068,0.0069,0.00998,1.0,1.0,0.085433,1.0,1.0,0.4,0,2,0.947537,1,Subprime,0.00998,97.34843153530608
61008.0,5235.0,10,5,32,4,16,19,19.44,17,Standard,1755.81,25.22776614388638,97,Yes,189.4265306646308,High_spent_Medium_value_payments,509.26422184443993,0.0288,0.036178,1.0,0.808333,0.097262,1.0,1.0,1.0,1,1,0.949525,1,Subprime,0.036178,126.13883071943192
56803.71,4620.6425,7,5,25,6,42,23,16.23,11,Bad,2593.44,38.87819909381113,67,Yes,187.190218862138,High_spent_Medium_value_payments,380.2713183342796,0.0457,0.040503,1.0,0.558333,0.082281,1.0,1.0,1.0,1,0,0.928193,1,Near_Prime,0.040503,194.39099546905567
38364.82,2904.068333333333,9,6,32,4,34,24,3.44,12,Bad,1973.63,29.24692971651018,200,Yes,74.85037187731447,High_spent_Medium_value_payments,380.3782402643087,0.0514,0.025765,1.0,1.0,0.130936,1.0,1.0,1.0,1,0,0.944895,1,Subprime,0.025765,175.48157829906108
38364.82,2904.068333333333,9,6,32,4,34,25,3.44,12,Bad,1973.63,39.46562351083284,201,Yes,74.85037187731447,High_spent_Medium_value_payments,402.0236562043445,0.0514,0.025765,1.0,1.0,0.138387,1.0,1.0,1.0,1,0,0.952349,1,Subprime,0.025765,236.79374106499705
15015.4,1213.2833333333333,5,5,9,1,25,8,5.04,5,Good,330.17,24.650308446583686,225,No,11.685734566072789,Low_spent_Small_value_payments,352.3346408376826,0.022,0.009624,1.0,1.0,0.290159,1.0,1.0,0.833333,0,2,0.951377,1,Near_Prime,0.009624,123.25154223291844
19777.05,1728.0875,5,3,3,3,16,3,5.95,1,Good,186.16,25.758671794694795,224,No,29.045533320072103,High_spent_Large_value_payments,371.9990982837474,0.0094,0.016798,0.75,1.0,0.215142,1.0,1.0,0.25,0,2,0.976384,0,Prime,0.0125985,77.27601538408439
19777.05,1728.0875,5,3,3,3,14,0,5.95,1,Good,186.16,22.26375789934231,225,No,29.045533320072103,Low_spent_Small_value_payments,252.85552050353903,0.0094,0.016798,0.0,1.0,0.146236,1.0,1.0,0.25,0,2,0.878505,0,Prime,0.0,66.79127369802693
7873905.0,12353.633333333331,2,2,12,2,16,6,4.21,2,Good,1250.67,36.95384495908608,210,No,192.2064832741598,High_spent_Medium_value_payments,1060.635460328945,0.0002,0.015557,1.0,1.0,0.085849,1.0,1.0,0.666667,0,2,0.965619,0,Prime,0.015557,73.90768991817215
147499.6,12353.633333333331,2,2,12,2,14,2,4.21,2,Good,1250.67,32.24519332234832,212,No,192.2064832741598,High_spent_Medium_value_payments,825.1913128249307,0.0085,0.015557,0.666667,1.0,0.066792,1.0,1.0,0.666667,0,2,0.94656,0,Prime,0.010371338519,64.49038664469664
20005.22,1683.101666666667,8,3,6,4,17,20,24.33,13,Standard,1859.45,29.727595591113804,131,Yes,59.51321413246297,Low_spent_Medium_value_payments,299.1815100021844,0.0929,0.035338,1.0,1.0,0.177651,1.0,1.0,1.0,1,1,0.911397,1,Subprime,0.035338,89.1827867733414
20005.22,1683.101666666667,8,3,6,4,22,20,18.33,13,Standard,1859.45,27.321489310601788,132,Yes,59.51321413246297,Low_spent_Medium_value_payments,244.4007818878876,0.0929,0.035338,1.0,1.0,0.145122,1.0,1.0,1.0,1,1,0.878849,1,Subprime,0.035338,81.96446793180536
19795.52,1662.6266666666668,7,10,34,8,20,21,22.79,15,Bad,3135.02,33.64511754560509,30,Yes,130.47547071749042,Low_spent_Medium_value_payments,193.5655262558396,0.1584,0.078428,1.0,0.25,0.116352,1.0,1.0,1.0,1,0,0.848013,0,Near_Prime,0.078428,336.4511754560509
18717.02,1294.7516666666668,8,5,15,5,14,18,10.3,10,Standard,2103.99,29.864136905148,162,Yes,60.64699329311761,High_spent_Small_value_payments,298.88880652884905,0.1124,0.046804,1.0,1.0,0.230668,1.0,1.0,1.0,1,1,0.930036,0,Near_Prime,0.046804,149.32068452574
63536.98,5382.748333333334,4,5,12,2,29,17,14.78,9,Standard,89.62,26.02166195665192,315,Yes,69.10085253082353,High_spent_Large_value_payments,619.4837244657531,0.0014,0.012835,1.0,1.0,0.115066,1.0,1.0,1.0,1,1,0.9705,1,Subprime,0.012835,130.1083097832596
63536.98,5382.748333333334,4,5,12,2,32,16,14.78,9,Standard,89.62,27.936702558381217,317,Yes,69.10085253082353,High_spent_Large_value_payments,596.7028591132752,0.0014,0.012835,1.0,1.0,0.110834,1.0,1.0,1.0,1,1,0.966268,1,Subprime,0.012835,139.68351279190608
9983.345,758.9454166666666,7,11,15,5,22,16,10.26,12,Standard,1823.35,36.07825750942549,100,Yes,29.24151868964153,High_spent_Medium_value_payments,269.3918428115492,0.1826,0.038478,1.0,0.833333,0.354488,1.0,1.0,1.0,1,1,0.925551,1,Near_Prime,0.038478,396.8608326036804
27796.42,2300.3683333333333,6,5,16,2,18,14,11.85,10,Standard,1073.94,36.17666388955485,279,Yes,36.06763128414976,High_spent_Small_value_payments,295.7743616176905,0.0386,0.015672,1.0,1.0,0.128521,1.0,1.0,1.0,1,1,0.915552,1,Subprime,0.015672,180.88331944777423
37071.2,3006.2666666666664,1,6,6,4,14,4,11.56,4,Good,869.99,39.99881581174791,192,No,74.69027138495908,Low_spent_Medium_value_payments,407.04482807019616,0.0235,0.024837,0.8,1.0,0.135354,1.0,1.0,0.571429,0,2,0.94226,0,Prime,0.0198696,239.99289487048748
37071.2,3006.2666666666664,1,6,6,4,18,5,11.56,4,Good,869.99,33.39082392629834,193,No,74.69027138495908,Low_spent_Small_value_payments,220.17363724589367,0.0235,0.024837,1.0,1.0,0.073214,1.0,1.0,0.571429,0,2,0.876773,0,Prime,0.024837,200.34494355779003
